,linear,gaussian,dynamical
linear,0.9741025161743164,0.9737960186004638,0.973602689743042
gaussian,0.00030096720391884445,4.93080662124612e-07,0.0002574520313646644
dynamical,0.5050619575977325,0.5045910558700561,0.5047733874320984
