epoch,train_loss,test_loss
1,0.49814907512664797,0.5047733874320984
2,0.4969773465156555,0.5048315303325653
3,0.4960482053756714,0.5055060868263245
4,0.49435978870391845,0.5074633033275604
5,0.49066894664764404,0.5114429805278778
6,0.4836228353023529,0.5171994278430939
7,0.4752966670274735,0.5238100380897522
8,0.4682268724679947,0.5297090995311737
9,0.4622510907173157,0.5354261400699616
10,0.45683926978111267,0.5411166636943817
11,0.4518841492652893,0.5463374130725861
12,0.4473263909459114,0.5509908304214478
13,0.44309477019309995,0.5553497633934021
14,0.43909804203510283,0.5596807703971863
15,0.4352298106431961,0.5641273484230042
16,0.43141257903575897,0.5686175110340118
17,0.4276322431564331,0.5732970480918884
18,0.42391462515592576,0.5781844511032105
19,0.42025161126852034,0.583229522228241
20,0.41661362264156343,0.5885505137443543
21,0.4129598918437958,0.5942858066558838
22,0.4092871033668518,0.60033935546875
23,0.40559633702635767,0.6066617212295532
24,0.40195605293512343,0.612935525894165
25,0.39836552809476855,0.618266857624054
26,0.395754763174057,0.6240938057899476
27,0.3917823910236359,0.6288830461502075
28,0.3884048451423645,0.6310643177032471
29,0.3882123259782791,0.6301850323677063
30,0.3844763565301895,0.638197756767273
31,0.3810633872449398,0.6419783444404602
32,0.37811438452005386,0.6451959047317505
33,0.3753833834528923,0.6484855818748474
34,0.37276807255148886,0.6519036779403686
35,0.3702254859805107,0.6552850050926209
36,0.3677389696359634,0.6590010962486267
37,0.36529660425186156,0.6627092514038085
38,0.3628748678684235,0.6667556314468384
39,0.36047069306373597,0.6707440371513367
40,0.3580644617199898,0.6749922113418579
41,0.35567105617821215,0.6793036570549011
42,0.35326285250484946,0.6838542966842651
43,0.35083567997813225,0.6885876235961914
44,0.34841447288691996,0.6936092290878296
45,0.3459648292839527,0.6986030893325805
46,0.34353080302476885,0.7037007932662964
47,0.34108135523498057,0.7092282629013061
48,0.3386572107285261,0.7144414534568787
49,0.3362246576577425,0.7202584547996521
50,0.33400541358590125,0.7243077125549316
51,0.3323242477655411,0.725342360496521
52,0.33163247431218623,0.7240008654594421
53,0.3289717818915844,0.7322821230888367
54,0.32702563617229463,0.746644917011261
55,0.3263970403313637,0.7372742009162903
56,0.322227263879776,0.7540086612701417
57,0.31938341042995455,0.7652579908370971
58,0.3165137088447809,0.7664440188407898
59,0.31433109483718874,0.7767198061943055
60,0.31204971917867663,0.7787179207801819
61,0.3099900940582156,0.7872470602989197
62,0.30784556539207697,0.7883519387245178
63,0.3059044648438692,0.7967975716590882
64,0.3039762469828129,0.7943769097328186
65,0.30263511012494565,0.8025894289016724
66,0.3014183149367571,0.7889127321243287
67,0.3005469031572342,0.8030681891441345
68,0.298335098028183,0.7913280901908875
69,0.2961913209378719,0.8164789128303528
70,0.293007467520237,0.8185840311050415
71,0.2912495079904795,0.8276297812461852
72,0.28818657968640327,0.8305149564743042
73,0.2860817214488983,0.8389517440795898
74,0.28370522913336754,0.8420626339912415
75,0.28186191869974137,0.8484770827293396
76,0.2797249757260084,0.8498691945075989
77,0.2784341308578849,0.8556367263793946
78,0.2762047070518136,0.8539862403869629
79,0.2751980608999729,0.8611599063873291
80,0.2724415625214577,0.8615694694519043
81,0.2708741289526224,0.8718835496902466
82,0.26865716238021853,0.874848159790039
83,0.2669959776520729,0.8829382710456848
84,0.2649308439433575,0.8830099616050721
85,0.26327914370894434,0.8901650052070618
86,0.2611528592392802,0.8848133864402771
87,0.25972669950425625,0.8964168229103089
88,0.25683232137262824,0.8974033751487732
89,0.2551861356556416,0.9093789176940918
90,0.2523037338107824,0.9148249316215515
91,0.25110305818617346,0.9212086234092712
92,0.24850171156823636,0.9252485294342041
93,0.24772245545983315,0.9309318127632141
94,0.2450429023385048,0.9333806643486023
95,0.2445936168551445,0.9407111616134644
96,0.2422180428624153,0.9430064754486084
97,0.24113181806206704,0.9533740820884704
98,0.23829957231879234,0.9545611171722412
99,0.23635578626096249,0.9606573920249939
100,0.23487109731286765,0.9631584339141845
101,0.23311872259527444,0.9572455468177795
102,0.23361098255217075,0.9579237718582153
103,0.23212947474718093,0.9485290613174439
104,0.232218061286211,0.9691105427742004
105,0.228084433478117,0.9814280757904053
106,0.22754902289807796,0.9714126257896424
107,0.22653068108856678,0.9806978716850281
108,0.22323559967279435,0.995138192653656
109,0.22031104905307292,1.0043325734138489
110,0.21883382747471333,1.014059365272522
111,0.21736493869423867,1.0121819849014282
112,0.21568235305249692,1.0142229771614075
113,0.21684357485175132,1.002662850856781
114,0.2155374015212059,1.0050202817916871
115,0.21468926279842854,1.0272459301948547
116,0.210807850022614,1.0415920152664184
117,0.2089134932875633,1.056818178653717
118,0.20668323468863964,1.0441127433776856
119,0.2068578372836113,1.0607959947586059
120,0.20582359647750856,1.0388121681213378
