Context_Size,Linear,Gaussian,Dynamical
1,1.1119266338348388,0.012874087106436491,0.041162116289138795
2,1.1706761856079102,0.012183203361928463,0.03425205087661743
3,1.1880247297286988,0.014241783127188682,0.02414429400861263
4,1.1476214027404785,0.013380446039140225,0.017771950393915176
5,1.0897557945251466,0.012357432194054127,0.013567863941192627
6,1.1367299962043762,0.013324152112007142,0.010730570070445538
7,1.1126992321014404,0.015121822968125344,0.008770169630646706
8,1.1222606554031371,0.016107707764953374,0.007398185253143311
9,1.0844486560821534,0.014503437429666519,0.006425116807222366
10,1.0731123781204224,0.01535211293399334,0.0057286213859915735
11,1.0484411039352417,0.015770499400794506,0.005222359839826822
12,1.0588370113372803,0.016347676318138837,0.004846252031624317
13,1.0530452699661255,0.017623837046325207,0.00456379359215498
14,0.9713618230819702,0.015504399597644805,0.004347719645127654
15,0.9740936298370362,0.018036574482917785,0.004175311392173171
16,0.9473375453948975,0.018507082909345628,0.004034914385527373
17,0.9598526811599731,0.01778679360449314,0.003914014056324959
18,0.9664406671524047,0.017795295715332032,0.003811081077903509
19,1.1029084701538086,0.018210047930479048,0.003722858313471079
20,1.1675960941314698,0.01642982591688633,0.0036413793619722128
21,1.1675960941314698,0.01642982591688633,0.0036413793619722128
22,1.1675960941314698,0.01642982591688633,0.0036413793619722128
23,1.1675960941314698,0.01642982591688633,0.0036413793619722128
24,1.1675960941314698,0.01642982591688633,0.0036413793619722128
25,1.1675960941314698,0.01642982591688633,0.0036413793619722128
26,1.1675960941314698,0.01642982591688633,0.0036413793619722128
27,1.1675960941314698,0.01642982591688633,0.0036413793619722128
28,1.1675960941314698,0.01642982591688633,0.0036413793619722128
29,1.1675960941314698,0.01642982591688633,0.0036413793619722128
30,1.1675960941314698,0.01642982591688633,0.0036413793619722128
31,1.1675960941314698,0.01642982591688633,0.0036413793619722128
32,1.1675960941314698,0.01642982591688633,0.0036413793619722128
33,1.1675960941314698,0.01642982591688633,0.0036413793619722128
34,1.1675960941314698,0.01642982591688633,0.0036413793619722128
35,1.1675960941314698,0.01642982591688633,0.0036413793619722128
36,1.1675960941314698,0.01642982591688633,0.0036413793619722128
37,1.1675960941314698,0.01642982591688633,0.0036413793619722128
38,1.1675960941314698,0.01642982591688633,0.0036413793619722128
39,1.1675960941314698,0.01642982591688633,0.0036413793619722128
40,1.1675960941314698,0.01642982591688633,0.0036413793619722128
